|storyboard                       |
|telfort.general Open Telfort |
|telfort.general Go to Service|

|telfort.service Click trough guided menu and return title                                                                                                                                                 |
|maxlvl|level1|level2                  |level3                |level4                                       |level5                                  |title?                                               |
|4     |Mobiel|Bestellen en overstappen|Nummerbehoud          |Nummerbehoud aanvragen                       |                                        |Nummerbehoud mobiele nummer aanvragen                |
|4     |Mobiel|Bestellen en overstappen|Nummerbehoud          |Aanvraag nummerbehoud afgewezen              |                                        |Aanvraag nummerbehoud mobiele nummer afgewezen       |
|4     |Mobiel|Bestellen en overstappen|Nummerbehoud          |Niet bellen of internetten na nummerbehoud   |                                        |Niet bellen of internetten na nummerbehoud Mobiel    |
|4     |Mobiel|Bestellen en overstappen|Nummerbehoud          |Telefoonnummer meenemen naar andere aanbieder|                                        |Mobiele telefoonnummer meenemen naar andere aanbieder|
|4     |Mobiel|Bestellen en overstappen|Nummerbehoud          |Dubbele abonnementskosten voorkomen          |                                        |Dubbele abonnementskosten Mobiel voorkomen           |
|4     |Mobiel|Bestellen en overstappen|Overstappen           |Overstappen van prepaid naar abonnement      |                                        |Overstappen van prepaid naar abonnement              |
|4     |Mobiel|Bestellen en overstappen|Overstappen           |Overstappen van abonnement naar prepaid      |                                        |Overstappen van abonnement naar prepaid              |
|4     |Mobiel|Bestellen en overstappen|Overstappen           |Overstappen van particulier naar zakelijk    |                                        |Van particulier naar zakelijk Mobiel                 |
|4     |Mobiel|Bestellen en overstappen|Overstappen           |Overstappen van zakelijk naar particulier    |                                        |Overstappen van zakelijk naar particulier Mobiel     |
|5     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|!-CombiVoordeel bestellen-!                  |!-CombiVoordeel aanzetten-!             |!-CombiVoordeel aanzetten-!                          |
|5     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|!-CombiVoordeel bestellen-!                  |!-Status CombiVoordeel aanmelding-!     |!-Status CombiVoordeel aanmelding-!                  |
|5     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|!-CombiVoordeel bestellen-!                  |!-Afmelden of stopzetten CombiVoordeel-!|!-Afmelden of stopzetten CombiVoordeel-!             |
|5     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|!-CombiVoordeel bestellen-!                  |!-CombiVoordeel wijzigen-!              |!-CombiVoordeel wijzigen-!                           |
|4     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|Abonnement verlengen                         |                                        |Verlengen mobiel abonnement                          |
|4     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|Status van je bestelling                     |                                        |Status van je bestelling                             |
|4     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|Toestelservice bestellen                     |                                        |Toestelservice bestellen                             |
|4     |Mobiel|Bestellen en overstappen|Bestellen en verlengen|Bestelling annuleren                         |                                        |Bestelling annuleren                                 |
